ptn,pcc,moc
MAP1LC3B,0.9252563709693923,0.9836038972129769
MAP1LC3B,0.906352811142333,0.9801437764379114
MAP1LC3B,0.7493872226693304,0.9928627352050325
MAP1LC3B,0.9190535543436924,0.9507916068095479
MAP1LC3B,0.7620160891236041,0.8035985672761925
MAP1LC3B,0.8213535609990822,0.9009972843111306
MAP1LC3B,0.9601467239660803,0.9759485209307285
MAP1LC3B,0.9774404258301921,0.958358986918862
MAP1LC3B,0.9608429246757776,0.977799635835089
MAP1LC3B,0.8187566385374808,0.9531412729736973
MAP1LC3B,0.85625001754339225,0.9696330454048531
MAP1LC3B,0.8951421236290877,0.9660302420668228
MAP1LC3B,0.9109711720397343,0.9634910685377656
MAP1LC3B,0.9098198871179961,0.9648005749779585
MAP1LC3B,0.8718424265697886,0.956125456193853
MAP1LC3B,0.8791202607132654,0.9789349182470094
MAP1LC3B,0.8483292016416595,0.9661599190175408
MAP1LC3B,0.6509841109963849,0.9871349859684908
MAP1LC3B,0.8163216971363669,0.9646265466863965
MAP1LC3B,0.7705093867048122,0.984402632510827
MAP1LC3B,0.8573343039958898,0.9342838960370969
MAP1LC3B,0.8987865657346773,0.9528821887803358
MAP1LC3B,0.8235923755336166,0.9146075562631191
MAP1LC3B,0.8364540504204786,0.9487506794289179
MAP1LC3B,0.8782807291661561,0.9527076498894677
MAP1LC3B,0.851176167170595,0.9472082730717813
PIK3CB,0.9430596414486033,0.9825739917202613
PIK3CB,0.9230491204074354,0.9866159542284856
PIK3CB,0.797664439586651,0.9719761745250123
PIK3CB,0.9323426067448357,0.9772531691812005
PIK3CB,0.9672329606329861,0.9880245362144193
PIK3CB,0.8978175660935716,0.9076850524516452
PIK3CB,0.9171904841167681,0.9850996024120294
PIK3CB,0.9383528294304976,0.9875210551518585
PIK3CB,0.9362928481256289,0.9858275992794937
PIK3CB,0.9307400901665507,0.9878980339320828
PIK3CB,0.9529337645828423,0.9908399468978057
PIK3CB,0.9050262536693938,0.9792356257364423
PIK3CB,0.9224794653435177,0.9915335270070725
PIK3CB,0.9137976268256376,0.9874727562228846
PIK3CB,0.9269529369941732,0.9859795118828669
PIK3CB,0.9196969591082501,0.9869003325733345
PIK3CB,0.9206694247583078,0.9903864094492364
PIK3CB,0.8621248504888157,0.9815027528363118
TBC1D5,0.943366776247084,0.9890204307953779
TBC1D5,0.8237566916013175,0.9645106031079271
TBC1D5,0.9064247614188697,0.9843828901741246
TBC1D5,0.916148069695959,0.9857634791602772
TBC1D5,0.8113386631735396,0.9855869034465331
TBC1D5,0.7031682515566786,0.981833522641037
TBC1D5,0.9814101249198913,0.9909769716095767
TBC1D5,0.9124848528669083,0.9813037153907365
TBC1D5,0.8967336791500935,0.9508045933785452
TBC1D5,0.9638068039276726,0.9915977069322474
TBC1D5,0.907596699223262,0.983923488712772
TBC1D5,0.93573820931656,0.9842056551041555
TBC1D5,0.8307605303176616,0.9800126351731574
TBC1D5,0.8724052829019422,0.9813120358234987
TBC1D5,0.8246524648747444,0.9696027381142546
TBC1D5,0.8470025619243348,0.9849546151547262
TBC1D5,0.7868085037616082,0.9783945417873586
TBC1D5,0.7729033626660827,0.9678358927974772
TOLLIP,0.9131104212454707,0.9859416094717484
TOLLIP,0.9059807455596965,0.9856909174886032
TOLLIP,0.7935662343181271,0.9777115662526162
TOLLIP,0.8380261339079651,0.9731777009663954
TOLLIP,0.9057077891581843,0.9827111917923779
TOLLIP,0.9262631854712227,0.9856438894921767
TOLLIP,0.9024994661765361,0.9791893489498187
TOLLIP,0.8749152836038633,0.9747900250815696
TOLLIP,0.9478476408474328,0.9880890036927128
TOLLIP,0.9185290729345155,0.9892333071960951
TOLLIP,0.8902525184548062,0.9892994918823169
TOLLIP,0.8594367391564129,0.9882500514725315
TOLLIP,0.8706110640719475,0.9746289541632471
TOLLIP,0.7621905310349059,0.9684360579150944
TOLLIP,0.9340250655871047,0.98407031233457
